Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	tree_length
0	-234.5999	-348.7493	114.1493	0.0042041	0.0316504	0.0107404	0.00371798	0.00210798	0.0174218	0.0219561	0.0458602	0.0276513	1.51083e-07	0.0419991	0.0105909	0.0131562	0.0287091	0.00123747	0.0157882	0.00155832	0.000134201	0.0156977	0.00780144	0.000133612	0.0030282	0.0089777	0.00784115	0.00350821	0.00192923	0.00420547	0.00161324	0.01333	0.0030162	0.0404768	0.00354737	0.00257446	0.00573315	0.00131636	0.00165203	0.0178669	3.70941e-05	0.0303888	0.00935196	0.0166567	0.0140494	0.0329749	0.0856955	0.0386681	0.00108574	0.057588	0.0129288	0.00116257	0.0318571	0.0628534	0.0227649	0.0101679	0.0369123	0.010481	0.0447125	0.0431641	0.0012146	0.000165564	0.00151968	0.00221646	0.0412023	0.00601942	0.0586819	0.0082085	0.0133672	0.00763564	0.000552895	0.00636718	0.026043	0.0302593	0.0380288	0.000736819	1.1086	0.456984	0.343539	0.593874	0.849957	1.17653	1.68386	2.91087	0.7725654	12.12956	0.00342227	0.0257644	0.00874299	0.00302655	0.00171596	0.0141819	0.017873	0.0373316	0.0225091	1.22987e-07	0.0341886	0.00862133	0.0107096	0.0233701	0.00100734	0.0128521	0.00126852	0.000109244	0.0127784	0.00635062	0.000108765	0.00246505	0.00730813	0.00638294	0.00285579	0.00157045	0.00342339	0.00131323	0.010851	0.00245528	0.0329494	0.00288767	0.00209569	0.00466697	0.00107156	0.00134481	0.0145442	3.01958e-05	0.0247375	0.00761279	0.0135591	0.0114366	0.0268426	0.0697589	0.0314771	0.000883825	0.0468785	0.0105245	0.00094637	0.0259327	0.0511646	0.0185314	0.00827701	0.0300478	0.0085319	0.0363974	0.0351369	0.000988725	0.000134774	0.00123707	0.00180427	0.03354	0.0049	0.0477689	0.00668198	0.0108813	0.00621565	0.000450074	0.00518309	0.0211998	0.024632	0.0309566	0.000599794	1.228453
36	-233.9053	-348.9285	115.0232	0.0131602	0.0144269	0.00768389	0.00304803	0.0070647	0.00924612	0.0136568	0.0263273	0.0409854	3.26296e-06	0.0144496	0.00380216	0.00699975	0.00185233	0.00228441	0.000626817	0.000489876	0.000359519	0.0100398	0.00135999	0.00119858	0.00261457	0.028214	0.00112682	0.0156655	0.00397633	0.00188126	0.000948759	0.00648121	0.00505862	0.0852655	0.0052839	0.00982379	0.0104458	0.00142561	0.000748345	0.000227447	0.000530659	0.0106385	0.000268505	0.0149341	0.0296947	0.0850945	0.0909218	0.0305276	0.00296775	0.0396113	0.00550924	0.00268621	0.0167337	0.0559307	0.00880517	0.0322025	0.0330061	0.00170562	0.0385461	0.0502882	0.0358931	0.0011547	0.0125892	0.00298003	0.0568801	0.00989167	0.0073364	0.00077178	0.018383	0.00210214	0.000127	0.00711556	0.0247476	0.0299025	0.00661889	0.0239565	1.04124	0.793784	0.271949	0.529905	0.820266	1.21912	1.88713	3.67716	0.9415365	6.558731	0.0114506	0.0125527	0.00668567	0.00265206	0.00614693	0.00804496	0.0118827	0.0229071	0.035661	2.83907e-06	0.0125724	0.00330822	0.00609041	0.00161169	0.00198764	0.000545387	0.000426236	0.000312814	0.00873556	0.00118331	0.00104287	0.00227491	0.0245487	0.000980433	0.0136304	0.00345977	0.00163687	0.000825506	0.00563924	0.00440146	0.0741887	0.00459747	0.00854758	0.0090888	0.00124041	0.000651127	0.0001979	0.000461721	0.00925644	0.000233623	0.012994	0.0258371	0.0740399	0.0791102	0.0265617	0.00258221	0.0344654	0.00479353	0.00233724	0.0145598	0.0486648	0.00766129	0.0280191	0.0287183	0.00148404	0.0335386	0.0437552	0.0312302	0.00100469	0.0109537	0.0025929	0.0494908	0.00860664	0.00638333	0.000671518	0.0159949	0.00182906	0.000110502	0.00619118	0.0215327	0.0260179	0.00575903	0.0208443	1.149306
72	-237.9186	-353.8439	115.9253	0.0105777	0.0218762	0.00146872	0.0032729	0.00158103	0.00146173	0.00738883	0.0117037	0.0100656	0.0161056	0.0118662	0.000967005	0.0173914	0.00236133	0.00805137	0.000532591	0.00265641	0.0024083	0.00254285	0.0080008	0.00118608	0.00876488	0.00215225	0.00133454	0.000512041	0.00658535	0.00457181	0.0079021	0.00159173	0.000142395	0.0493736	0.00957093	0.000920257	0.00621575	0.00158073	0.00111012	0.0153744	0.00207023	0.00190827	0.00816616	0.0237887	0.0291339	0.00275254	0.00451005	0.0258859	0.00292395	0.0053317	0.0245867	0.0217347	0.0340176	0.00412076	0.0193111	0.000754243	0.0068808	0.00433053	0.0269563	0.00414659	0.0074747	0.0471927	0.0192391	0.0117978	0.0118829	0.0121774	0.0123584	0.0104361	0.00467461	0.0674881	0.0121598	0.00720234	0.00375879	0.00823929	0.0133003	0.0126353	0.934491	1.32754	0.175153	0.427576	0.767155	1.30352	2.33877	5.70929	1.259654	3.519627	0.0136224	0.0281729	0.00189147	0.00421495	0.00203611	0.00188246	0.00951559	0.0150724	0.0129628	0.0207414	0.0152817	0.00124534	0.0223972	0.00304101	0.0103688	0.000685889	0.00342101	0.0031015	0.00327477	0.0103037	0.00152748	0.0112877	0.00277174	0.00171866	0.000659424	0.00848084	0.00588773	0.0101766	0.00204988	0.000183381	0.063585	0.0123258	0.00118514	0.00800485	0.00203571	0.00142965	0.0197997	0.00266611	0.00245753	0.0105167	0.0306359	0.0375197	0.00354482	0.0058082	0.0333367	0.00376556	0.00686634	0.0316636	0.0279907	0.043809	0.00530685	0.0248694	0.00097134	0.00886133	0.005577	0.0347153	0.00534012	0.00962618	0.0607764	0.0247768	0.0151936	0.0153032	0.0156825	0.0159155	0.0134399	0.00602013	0.0869134	0.0156598	0.00927542	0.0048407	0.0106108	0.0171286	0.0162722	0.7764976
108	-231.9245	-347.6569	115.7325	0.00276342	0.00325329	0.00135455	9.61966e-05	0.000214422	0.00307154	0.00168005	0.00418777	0.019901	0.000958109	0.000798439	6.54277e-05	0.00180717	0.00218569	0.00273977	0.00404281	0.00371194	0.00175377	0.00391818	0.00397896	0.00157686	0.000975908	0.00188483	0.00127033	0.00596929	0.00203024	0.000744903	0.00241941	0.00632542	0.000154464	0.0221223	0.00400614	0.0048382	0.000623244	8.85682e-05	0.00502921	0.000451719	0.00156041	0.0221224	0.000120026	0.000805713	0.0222247	0.0096374	0.00274012	0.00802941	0.00269284	0.0461211	0.000776505	0.000557678	0.0140236	0.031704	0.00505434	0.00666567	0.00596694	0.00644078	0.0169626	0.0216814	0.0203156	0.00182094	0.0124565	0.00930208	0.00148737	0.00695219	0.0107807	0.00152306	0.00276157	1.5028e-05	6.22746e-05	0.0142427	0.00815259	0.00877838	0.0261634	0.000628246	0.945703	1.27148	0.127166	0.365762	0.730678	1.36859	2.73402	7.86376	1.491159	3.718895	0.00582603	0.0068588	0.00285576	0.000202808	0.000452057	0.00647562	0.00354198	0.00882892	0.0419565	0.00201995	0.00168332	0.000137939	0.00381	0.00460801	0.00577615	0.00852331	0.00782575	0.00369741	0.00826056	0.00838869	0.00332444	0.00205747	0.00397372	0.00267819	0.0125848	0.00428029	0.00157045	0.00510076	0.0133357	0.00032565	0.0466397	0.00844599	0.0102002	0.00131396	0.000186725	0.0106029	0.000952343	0.00328975	0.0466399	0.000253046	0.00169866	0.0468555	0.0203182	0.0057769	0.0169281	0.00567721	0.0972354	0.00163708	0.00117573	0.0295655	0.0668403	0.0106559	0.014053	0.0125799	0.0135789	0.0357617	0.0457102	0.0428307	0.00383903	0.0262616	0.0196112	0.00313576	0.014657	0.0227285	0.003211	0.00582211	3.1683e-05	0.000131291	0.0300274	0.0171878	0.0185071	0.0551593	0.00132451	0.4743238
144	-235.6333	-350.5633	114.9299	0.0161962	0.0148235	9.68347e-05	0.0078405	0.00148257	0.00910766	0.00608584	0.0242161	0.011235	0.0119886	0.0177149	0.00193854	0.00772504	0.00298173	0.000831231	0.00507013	0.000196828	0.00817321	0.0303303	0.00173182	0.00588299	0.00165752	0.00282867	0.0012905	0.0128672	0.00749864	0.000927629	0.00596763	0.0174799	0.00839215	0.0256111	0.00838275	0.00291513	0.00122964	0.0136291	0.00642559	0.000517632	0.0142601	0.0143967	0.00487226	0.011881	0.0178661	0.0487424	0.00154094	0.0323688	0.0135027	0.0837467	0.0085034	0.00478187	0.0178342	0.107856	0.00706961	0.000693858	0.0149485	0.00586197	0.0253939	0.0534786	0.00525597	0.00249062	0.00808333	0.0425147	0.0110057	0.000436855	0.0068426	0.000884812	0.00144899	1.44634e-05	0.000143134	0.0333943	0.00429999	0.00313111	0.02879	0.00861102	1.05617	0.719133	0.226092	0.484265	0.797539	1.25386	2.06498	4.42298	1.075068	7.343378	0.0170448	0.0156001	0.000101908	0.00825127	0.00156024	0.00958482	0.00640468	0.0254848	0.0118236	0.0126167	0.018643	0.0020401	0.00812976	0.00313794	0.000874779	0.00533576	0.00020714	0.00860141	0.0319194	0.00182255	0.0061912	0.00174436	0.00297686	0.00135811	0.0135413	0.0078915	0.000976228	0.00628028	0.0183957	0.00883182	0.0269528	0.00882193	0.00306786	0.00129406	0.0143431	0.00676223	0.000544751	0.0150072	0.0151509	0.00512752	0.0125034	0.0188021	0.0512961	0.00162167	0.0340647	0.0142101	0.0881343	0.0089489	0.00503239	0.0187686	0.113506	0.00743999	0.000730209	0.0157316	0.00616909	0.0267243	0.0562804	0.00553134	0.0026211	0.00850682	0.044742	0.0115823	0.000459742	0.00720108	0.000931168	0.00152491	1.52212e-05	0.000150633	0.0351439	0.00452527	0.00329515	0.0302983	0.00906216	0.9502175
180	-248.3515	-362.6625	114.3111	0.0252526	0.0440814	0.017394	0.040737	0.00757879	0.00341975	0.100628	0.0249695	0.0190332	0.0121352	0.0290261	0.00756003	0.0433791	0.000318513	0.000776621	0.0161447	0.000520964	0.00169651	0.0124455	0.00923827	0.0193778	0.00933738	0.0229639	0.0194302	0.007885	0.0260384	0.0134904	0.0195637	0.00946865	0.0191154	0.0968666	0.0112578	0.0146003	0.021936	0.0262609	0.0112342	0.0155662	0.0328165	0.081327	0.036955	0.0317574	0.0160109	0.0561998	0.0406182	0.00486092	0.0151576	0.0240625	0.0194561	0.0107549	0.0162034	0.204967	0.131458	0.00304885	0.0441923	0.0811144	0.0208852	0.0264393	0.0230479	0.0059047	0.00200982	0.0146577	0.00989497	0.0439312	0.0374729	0.00116595	0.00279759	0.00807322	0.0103972	0.0276695	0.0648179	0.0546301	0.0352744	0.00223605	1.02661	0.866935	0.423737	0.657861	0.877528	1.13956	1.52008	2.35995	0.620857	5.920934	0.0124828	0.0217902	0.00859816	0.020137	0.00374632	0.00169044	0.0497421	0.0123428	0.00940845	0.00599862	0.0143481	0.00373705	0.021443	0.000157446	0.000383897	0.0079806	0.000257521	0.000838613	0.006152	0.00456663	0.00957877	0.00461562	0.0113515	0.00960469	0.00389769	0.0128712	0.00666853	0.00967067	0.00468051	0.00944909	0.0478828	0.00556493	0.00721717	0.0108434	0.0129812	0.00555326	0.00769463	0.0162217	0.0402013	0.0182675	0.0156982	0.00791445	0.0277805	0.0200782	0.00240283	0.00749267	0.0118945	0.00961747	0.00531634	0.00800961	0.101319	0.0649817	0.0015071	0.021845	0.0400962	0.0103239	0.0130694	0.011393	0.00291879	0.000993486	0.00724556	0.00489125	0.0217159	0.0185235	0.000576351	0.00138289	0.00399073	0.00513949	0.0136775	0.0320406	0.0270046	0.0174367	0.00110532	2.022994
216	-247.3143	-362.7498	115.4355	0.0209305	0.0236055	0.00406348	0.00727262	0.00212728	0.0160449	0.0471317	0.0103444	0.00275881	0.014857	0.0161274	0.019404	0.0601034	0.0102563	0.00308838	0.0256956	0.00328293	0.000846992	0.0201242	0.0134615	0.00850479	0.0166999	0.00150097	0.00107276	0.0134725	0.0164483	0.0077244	0.0116491	0.0374836	0.0545575	0.0469951	0.00642942	0.0314585	0.00598094	0.00117963	0.0012211	0.0027638	0.00981937	0.00452096	0.00438144	0.0363896	0.0319224	0.0314396	0.0057016	0.0176998	0.00120654	0.00747075	0.00363894	0.0187762	0.0337071	0.00170262	0.127603	0.010951	0.0128402	0.160178	0.00795493	0.0402738	0.00526535	0.029466	0.0791899	0.0306574	0.0378491	0.0600639	0.0133825	0.0141502	0.00487587	0.0129829	0.00797463	0.0460249	0.00908974	0.00650743	0.0321575	0.025235	0.951635	1.24183	0.352301	0.601213	0.85322	1.17203	1.6633	2.83848	0.7543561	3.831596	0.0133339	0.015038	0.00258866	0.00463307	0.0013552	0.0102215	0.0300256	0.00658996	0.00175752	0.00946472	0.0102741	0.0123614	0.0382893	0.00653383	0.00196747	0.0163696	0.00209141	0.000539582	0.0128203	0.00857571	0.00541803	0.0106388	0.000956201	0.000683411	0.00858277	0.0104785	0.00492088	0.00742114	0.0238792	0.0347562	0.0299385	0.0040959	0.0200408	0.0038102	0.000751493	0.000777913	0.0017607	0.0062555	0.00288011	0.00279123	0.0231823	0.0203364	0.0200288	0.00363224	0.0112758	0.000768632	0.00475929	0.00231821	0.0119615	0.0214733	0.00108466	0.0812906	0.00697644	0.00817991	0.102042	0.00506774	0.0256567	0.00335433	0.0187715	0.0504484	0.0195305	0.024112	0.0382641	0.0085254	0.00901447	0.00310621	0.00827082	0.00508029	0.0293204	0.00579068	0.0041456	0.0204862	0.0160761	1.569719
252	-232.6441	-346.469	113.8249	0.0577396	0.0901429	0.00298693	0.00230961	0.00328188	0.0100881	0.033833	0.00247463	0.00787991	0.0264393	0.0144368	0.0191375	0.0180021	0.00132221	0.00684719	0.0067457	0.0328518	0.00164527	0.0104726	0.00183718	0.00731786	0.00171548	0.00471564	0.0229422	0.00223813	0.00515365	0.00614657	0.00889037	0.022406	0.0057185	0.0432995	0.000440307	0.0158633	0.0047375	0.00326951	0.000675787	0.000302101	0.00898455	0.0119928	0.00385885	0.118098	0.0769222	0.0399136	0.00805131	0.00355191	0.00215527	0.0212416	0.0258686	0.0298214	0.030217	0.0348583	0.0576567	0.0014107	0.010712	0.0820966	0.0175986	0.0704312	0.000292804	0.0154805	0.042762	0.057949	0.0838777	0.0173587	0.0382556	0.017771	0.000553006	0.000480622	0.0017012	0.0449901	0.00892266	0.0423467	0.0354038	0.0272107	1.10155	0.492227	0.353297	0.602042	0.853587	1.17153	1.66101	2.83048	0.7523141	11.18949	0.0361527	0.0564415	0.00187022	0.00144612	0.00205489	0.00631651	0.021184	0.00154945	0.00493387	0.0165545	0.00903934	0.0119826	0.0112717	0.00082788	0.00428725	0.00422371	0.0205696	0.00103016	0.00655722	0.00115032	0.00458196	0.00107412	0.00295262	0.0143649	0.00140137	0.00322687	0.00384857	0.00556656	0.0140291	0.00358054	0.0271113	0.000275691	0.00993254	0.0029663	0.00204715	0.000423133	0.000189155	0.00562552	0.00750912	0.00241616	0.0739453	0.0481635	0.0249912	0.0050412	0.00222397	0.00134948	0.0133001	0.0161972	0.0186722	0.0189198	0.0218259	0.0361008	0.000883286	0.00670712	0.0514034	0.011019	0.0440993	0.000183335	0.00969285	0.0267747	0.0362838	0.0525186	0.0108689	0.0239531	0.011127	0.000346256	0.000300933	0.00106518	0.0281698	0.00558677	0.0265147	0.0221675	0.0170375	1.597104
288	-256.651	-372.174	115.523	0.0405184	0.0183495	0.00744651	0.00110909	0.0221239	0.00546238	0.0108013	0.00747475	0.0163446	0.00562197	0.000386325	0.00638766	0.0410373	0.00290679	0.000349653	0.00130296	0.00954562	0.00384279	0.00535243	0.00528918	0.0120418	0.00303558	0.00389936	0.00700218	0.00838683	0.0156459	0.00245697	0.0156492	0.00629087	0.0154554	0.0600957	0.00117472	0.0101876	0.0174003	0.00608422	0.00136779	0.00614513	0.000148014	0.0116176	0.00775396	0.0219911	0.0257763	0.0557213	0.0248443	0.0145479	0.000917024	0.0456645	0.0192165	0.0101327	0.0603163	0.0146238	0.030921	0.00803514	0.0164241	0.0184387	0.0329963	0.0161743	0.0245244	0.0723361	0.010566	0.0152939	0.00845816	0.0574119	0.00355802	0.00276905	0.00246344	0.00192742	0.00645736	0.0354063	0.00951365	0.0240843	0.0504093	0.00264087	0.99304	1.0348	0.301179	0.556957	0.833107	1.20033	1.79547	3.32029	0.8677194	4.798214	0.0346888	0.0157094	0.00637514	0.000949522	0.0189408	0.00467648	0.00924728	0.00639932	0.013993	0.00481311	0.000330742	0.00546863	0.0351331	0.00248857	0.000299346	0.0011155	0.00817224	0.00328991	0.00458235	0.0045282	0.0103093	0.00259884	0.00333834	0.00599474	0.00718018	0.0133948	0.00210347	0.0133977	0.00538577	0.0132318	0.0514494	0.0010057	0.00872182	0.0148968	0.00520886	0.001171	0.005261	0.000126719	0.00994613	0.00663836	0.0188271	0.0220677	0.0477044	0.0212699	0.0124548	0.000785087	0.0390945	0.0164517	0.00867489	0.0516383	0.0125198	0.0264722	0.00687909	0.0140611	0.0157858	0.0282489	0.0138473	0.020996	0.0619288	0.00904578	0.0130935	0.00724124	0.0491518	0.00304611	0.00237065	0.00210901	0.00165011	0.00552831	0.0303122	0.00814487	0.0206192	0.0431566	0.00226092	1.168054
324	-244.6239	-359.6562	115.0323	0.0249743	0.0189153	0.0237672	0.0207493	0.00511184	0.00747994	0.0205547	0.0134838	0.0203883	0.00182965	0.00548585	0.0017959	0.00456691	0.00108045	0.0318465	0.000549667	0.00149226	0.0257154	0.00423095	0.00559914	0.000214483	0.00687406	0.0269595	0.00189064	0.00233611	0.0224649	0.0185093	0.00360286	0.0177357	0.0121657	0.136902	0.0153129	0.0124818	0.0122151	0.0450843	0.00594391	0.00289417	0.0255957	0.0121258	0.0381974	0.0491201	0.0808421	0.0649076	0.0185942	0.0295079	0.00170895	0.152243	0.025373	0.0124744	0.0102947	0.0848817	0.0229966	0.0116102	0.0288719	0.00650057	0.00152364	0.00461506	0.000257421	0.0055487	0.0136307	0.00142194	0.0133157	0.0218545	0.0490481	0.000832068	0.00997062	0.0120288	0.0187032	0.0411985	0.00646407	0.0486213	0.00819051	0.0274582	1.00337	0.983143	0.330833	0.583059	0.845097	1.1833	1.71509	3.02267	0.7998156	5.102877	0.0161778	0.012253	0.0153959	0.013441	0.00331135	0.00484536	0.013315	0.00873457	0.0132071	0.00118521	0.00355363	0.00116335	0.00295835	0.000699894	0.0206295	0.000356063	0.000966654	0.0166579	0.00274073	0.00362701	0.000138938	0.00445288	0.0174639	0.00122472	0.00151328	0.0145523	0.0119899	0.00233386	0.0114888	0.00788068	0.0886826	0.00991936	0.00808544	0.0079127	0.0292047	0.00385035	0.00187478	0.0165804	0.00785483	0.0247435	0.031819	0.0523679	0.0420459	0.012045	0.0191146	0.00110703	0.0986197	0.0164361	0.00808067	0.0066687	0.0549847	0.0148967	0.00752088	0.0187027	0.00421094	0.000986984	0.00298954	0.000166752	0.00359434	0.0088297	0.000921107	0.00862568	0.0141569	0.0317724	0.000538997	0.00645877	0.00779205	0.0121155	0.0266876	0.00418729	0.0314959	0.00530565	0.0177869	1.543733
